Linguiça,Carne e produtos cárneos,437.0,39.0,13.4,15.4,4.5,3.9,0.1,0.0,0.0,0.0,0.0,0.0,21.5,7.28,0.0,0.085,0.0,0.0,0.0,3.0E-4,6.0E-4,2.5E-4,0.005,0.0096,0.0046,4.0E-4,0.0018,0.0,3.0E-6,8.4,2.91,0.38,0.03,0.2,0.022,0.002,0.0032
Lombo de porco cru,Carne e produtos cárneos,131.0,4.7,1.6,1.6,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.13,0.0,0.058,0.025,0.0,6.0E-7,5.0E-4,7.0E-4,1.6E-4,0.0053,0.01,0.0047,4.4E-4,0.001,0.0,5.0E-6,1.1,0.053,0.4,0.007,0.22,0.023,6.0E-4,0.0016
Lombo de vitela cru,Carne e produtos cárneos,148.0,7.6,3.2,3.6,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,19.9,0.06,0.0,0.091,0.0,0.0,0.0,1.7E-4,2.2E-4,2.1E-4,0.0066,0.011,0.0042,3.4E-4,0.0012,0.0,5.7E-6,1.3,0.024,0.35,0.014,0.2,0.018,9.0E-4,0.003
Morcela crua,Carne e produtos cárneos,363.0,29.5,9.7,11.3,3.8,3.3,0.1,12.0,0.4,0.0,11.6,0.6,12.0,1.28,0.0,0.106,0.012,0.0,9.0E-7,1.5E-4,1.8E-4,8.0E-5,0.0016,0.0035,0.0019,4.0E-5,3.0E-4,0.0,4.6E-6,2.0,0.51,0.18,0.024,0.095,0.018,0.01,0.0012
Mortadela,Carne e produtos cárneos,379.0,33.2,12.4,15.2,3.4,3.0,0.1,1.7,0.0,0.0,1.7,0.0,18.3,3.85,0.0,0.06,0.0,0.0,0.0,6.0E-5,1.2E-4,1.6E-4,0.004,0.0074,0.0034,1.5E-4,0.0014,0.0,3.0E-6,3.9,1.54,0.2,0.021,0.18,0.014,0.0022,0.0026
Pá de carneiro crua,Carne e produtos cárneos,195.0,12.6,5.4,4.0,0.4,0.3,0.6,0.0,0.0,0.0,0.0,0.0,20.5,0.16,0.0,0.068,0.0,0.0,4.0E-7,7.0E-5,1.4E-4,3.2E-4,0.0043,0.0082,0.0039,2.2E-4,0.002,0.0,2.0E-6,0.9,0.066,0.27,0.012,0.21,0.016,0.0013,0.002
Paio de lombo,Carne e produtos cárneos,288.0,19.0,6.5,7.5,2.2,1.9,0.1,0.0,0.0,0.0,0.0,0.0,29.2,8.78,0.0,0.065,0.0,0.0,0.0,2.0E-4,7.0E-4,2.0E-4,0.005,0.011,0.0062,4.8E-4,0.0012,0.0,3.0E-6,10.0,3.51,0.32,0.025,0.26,0.025,0.001,0.0038
Pato com pele cru,Carne e produtos cárneos,394.0,38.3,9.7,16.9,4.3,3.7,0.2,0.0,0.0,0.0,0.0,0.0,12.3,0.17,0.0,0.074,0.051,0.0,1.4E-6,2.0E-5,1.7E-4,3.6E-4,0.0037,0.006,0.0023,2.6E-4,0.002,0.0,1.0E-5,0.95,0.068,0.2,0.01,0.13,0.015,0.0019,0.0013
Pato sem pele cru,Carne e produtos cárneos,133.0,6.2,1.6,2.7,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.23,0.0,0.093,0.024,0.0,4.0E-7,2.0E-5,3.6E-4,4.5E-4,0.0053,0.0095,0.0042,3.4E-4,0.003,0.0,2.5E-5,1.06,0.092,0.28,0.012,0.2,0.019,0.0024,0.0019
Peito de cabrito cru,Carne e produtos cárneos,116.0,3.8,1.2,1.7,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,20.5,0.2,0.0,0.057,0.0,0.0,0.0,9.0E-5,1.3E-4,3.2E-4,0.0061,0.01,0.0044,3.0E-4,0.0011,0.0,5.0E-6,1.2,0.082,0.38,0.011,0.23,0.022,5.0E-4,0.004
