Nome do alimento,Grupo,Energia,Lípidos (FAT),Ácidos gordos saturados (FASAT),Ácidos gordos monoinsaturados (FAMS),Ácidos gordos polinsaturados (FAPU),Ácido linoleico (F18:2CN6),Ácidos gordos trans (FATRS),Hidratos de carbono (CHO),Mono+dissacáridos (SUGAR),Oligossacáridos (OLSAC),Amido (STARCH),Sal (NACL),Fibra alimentar (FIBT),Proteína (PROT),Ácidos orgânicos (OA),Colesterol (CHORL),Vitamina A total (equivalentes de retinol) (VITA),Caroteno (CAROT),Vitamina D (VITD),a-tocoferol (TOCPHA),Tiamina (THIA),Riboflavina (RIBF),Niacina (NIA),Equivalentes de niacina (NIAEQ),Triptofano/60 (NIATRP),Vitamina B6 (VITB6),Vitamina B12  (VITB12),Vitamina C (VITC),Folatos (FOL),Cinza (ASH),Sódio (Na),Potássio (K),Cálcio (Ca),Fósforo (P),Magnésio (Mg),Ferro (Fe),Zinco (Zn)
Açúcar branco,Açúcar,397,0,0,0,0,0,0,99.3,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.002,0.002,0,0,0,0
Gelatina desidratada (pó ou folha),Açúcar,349,0.1,0,0,0,0,0,0,0,0,0,0.08,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.032,0.016,0.011,0.032,0.011,0,0.0002
Mel,Açúcar,314,0,0,0,0,0,0,78,78,0,0,0.03,0,0.5,0,0,0,0,0,0,0.00001,0.00004,0.0003,0.0003,0,0.0002,0,0,0,0.16,0.012,0.051,0,0.01,0.002,0.0004,0.0009
Pastilha elástica,Açúcar,328,0,0,0,0,0,0,75.1,73.4,0,1.7,0.08,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.032,0.009,0.005,0.004,0.002,0.0001,0
Cerveja branca,Bebidas alcoólicas,30,0,0,0,0,0,0,0.5,0.5,0,0,0.028,0,0.4,0,0,0,0,0,0,0.00002,0.00001,0.0005,0.0005,0,0.00001,0.00014,0,0.0000041,0.16,0.011,0.052,0.009,0.017,0.011,0.0003,0
Vinho espumante doce,Bebidas alcoólicas,110,0,0,0,0,0,0,12,12,0,0,0.01,0,0.1,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0.00002,0,0,0,0.2,0.004,0.051,0.015,0.01,0.008,0.0008,0
"Vinho generoso do Porto, doce",Bebidas alcoólicas,165,0,0,0,0,0,0,14,14,0,0,0.028,0,0.1,0,0,0,0,0,0,0.00001,0.00002,0.0001,0.0001,0,0.00001,0,0,0,0.25,0.011,0.12,0.005,0.015,0.011,0.0007,0.0002
Vinho maduro tinto,Bebidas alcoólicas,66,0,0,0,0,0,0,0.2,0.2,0,0,0.022,0,0.1,0,0,0,0,0,0,0,0.00002,0.0001,0.0001,0,0.00003,0,0,0,0.28,0.009,0.13,0.015,0.009,0.009,0.001,0.0001
Vinho rosé,Bebidas alcoólicas,72,0,0,0,0,0,0,2.4,2.4,0,0,0.018,0,0.2,0,0,0,0,0,0,0.00001,0.00001,0.00007,0.00007,0,0.00002,0,0,0,0.28,0.007,0.091,0.014,0.015,0.01,0.001,0.0001
Vinho verde branco,Bebidas alcoólicas,59,0,0,0,0,0,0,0.1,0.1,0,0,0.028,0,0,0,0,0,0,0,0,0.00001,0.00001,0.0001,0.0001,0,0.00001,0,0,0,0.15,0.011,0.084,0.01,0.006,0.006,0.0006,0.0002
Cacau em pó,"Café, cacau, chá e infusões",358,23.4,13.8,7.8,0.6,0.6,0,11.1,0,0,11.1,0.085,12.1,19.6,0,0,0,0,0,0.0005,0.00012,0.0003,0.0031,0.0066,0.0035,0.00011,0,0,0.000034,4.4,0.034,1.84,0.11,0.55,0.41,0.0058,0.0019
Chocolate de leite,"Café, cacau, chá e infusões",552,33.9,19.8,10.1,1,1,0.2,53.1,53.1,0,0,0.3,1.3,8,0,0.03,0.007,0.04,0,0.00074,0.0002,0.00046,0.002,0.0033,0.0013,0.00007,0,0,0.00001,2.06,0.12,0.42,0.19,0.23,0.055,0.0012,0.0002
"Chocolate em barra, culinária","Café, cacau, chá e infusões",502,30.5,19.3,10.2,1,1,0,44,44,0,0,0.042,15,5.4,0,0,0.006,0.038,0,0.0005,0.00006,0.0001,0.0005,0.0013,0.0008,0.00005,0,0,0.000006,1.2,0.017,0.38,0.043,0.16,0.11,0.0029,0.002
Alheira crua,Carne e produtos cárneos,308,18.1,5.2,6.6,4.1,3.7,0.1,27.4,1,0,26.4,1.68,1.4,8.3,0,0.032,0,0,0,0.0003,0.00002,0.00007,0.0024,0.0037,0.0013,0.00003,0.001,0,0.000001,2.4,0.67,0.086,0.019,0.052,0.016,0.0003,0.0011
Bacon,Carne e produtos cárneos,367,34.6,11.9,11.6,5.6,4.8,0.1,0,0,0,0,2.98,0,13.8,0,0.067,0,0,0,0.00008,0.00054,0.00015,0.0038,0.006,0.0022,0.00027,0.0009,0,0.000002,2.8,1.19,0.22,0.007,0.14,0.018,0.0007,0.0013
Bife de porco grelhado,Carne e produtos cárneos,202,14.2,6.8,3.9,1.2,1.08,0.3,0.7,0.6,0,0.1,0.63,0.9,16.7,1.1,0.072,0.13,0.437,0.0000005,0.00121,0.00059,0.00021,0.0057,0.00946,0.00371,0.00039,0.00077,0.0415,0.000025,1.64,0.25,0.46,0.043,0.15,0.027,0.0011,0.0022
"Bife de vaca (acém, alcatra, lombo) cru",Carne e produtos cárneos,122,4.3,1.8,1.8,0.2,0.1,0.2,0,0,0,0,0.15,0,20.9,0,0.061,0,0,0.0000005,0.00004,0.0001,0.00016,0.0046,0.0091,0.0045,0.00051,0.002,0,0.000016,1.1,0.06,0.37,0.009,0.17,0.023,0.0014,0.0036
"Chouriço de carne de porco, gordo, cru",Carne e produtos cárneos,544,53.6,18.5,21.2,6.2,5.3,0.2,0,0,0,0,6.58,0,15.4,0,0.096,0,0,0,0.0002,0.00038,0.00019,0.004,0.0092,0.0052,0.00027,0.0017,0,0.000001,7.7,2.63,0.37,0.023,0.2,0.021,0.0025,0.0031
Codorniz com pele crua,Carne e produtos cárneos,170,9.3,2.6,3.2,2.3,1.8,0,0,0,0,0,0.12,0,21.5,0,0.06,0.072,0,0.0000005,0.0001,0.00015,0.0002,0.0075,0.013,0.0052,0.0006,0.00043,0,0.000008,0.9,0.047,0.22,0.013,0.22,0.027,0.0027,0.0024
Coelho cru,Carne e produtos cárneos,117,4,1.3,0.9,0.7,0.6,0,0,0,0,0,0.14,0,20.3,0,0.048,0,0,0.0000005,0.00013,0.0001,0.00016,0.004,0.0078,0.0038,0.0005,0.009,0,0.000005,1.3,0.058,0.38,0.017,0.22,0.02,0.001,0.0015
"Coração de porco, cru",Carne e produtos cárneos,113,4.4,1.5,1.7,0.7,0.6,0,0,0,0,0,0.28,0,18.4,0,0.092,0.008,0,0.0000007,0.00037,0.00052,0.00097,0.005,0.0089,0.0039,0.00031,0.002,0.003,0.000002,1.18,0.11,0.32,0.01,0.28,0.022,0.0027,0.0022
"Coração de vaca, cru",Carne e produtos cárneos,92,2.7,1.1,1.2,0.1,0.1,0.1,0,0,0,0,0.25,0,17,0,0.091,0.006,0,0.0000003,0.00045,0.0004,0.0004,0.005,0.0086,0.0036,0.00023,0.013,0.006,0.000004,1.04,0.1,0.29,0.013,0.28,0.02,0.005,0.0016
Costeleta de cabrito crua,Carne e produtos cárneos,120,2.7,0.8,1.2,0.2,0.1,0.1,0,0,0,0,0.24,0,23.9,0,0.06,0,0,0.0000004,0.00009,0.00013,0.00032,0.0066,0.012,0.0051,0.00032,0.0013,0,0.000005,0.9,0.094,0.44,0.014,0.13,0.026,0.0011,0.0046
Costeleta de carneiro crua,Carne e produtos cárneos,151,7.5,3.2,2.4,0.3,0.2,0.3,0,0,0,0,0.22,0,20.8,0,0.066,0,0,0.0000004,0.00009,0.00009,0.00018,0.0048,0.0087,0.0039,0.0003,0.002,0,0.000003,1.2,0.088,0.35,0.017,0.22,0.024,0.0009,0.004
Costeleta de porco gorda crua,Carne e produtos cárneos,355,31.8,10.9,10.6,5.2,4.5,0.1,0,0,0,0,0.15,0,17.3,0,0.074,0,0,0.000001,0.00003,0.00063,0.00017,0.0055,0.0092,0.0037,0.00035,0.001,0,0.000003,1.02,0.061,0.31,0.019,0.19,0.018,0.0013,0.0017
Costeleta de porco meio gorda crua,Carne e produtos cárneos,221,15.8,5.4,5.3,2.6,2.2,0.1,0,0,0,0,0.25,0,19.8,0,0.066,0,0,0.0000007,0.00011,0.00074,0.0002,0.0065,0.011,0.0042,0.0004,0.001,0,0.000006,1.06,0.1,0.38,0.014,0.19,0.018,0.0014,0.0021
Costeleta de vitela crua,Carne e produtos cárneos,120,4.5,1.9,2.2,0.2,0.1,0.2,0,0,0,0,0.065,0,20,0,0.073,0,0,0,0.0003,0.00025,0.00021,0.0066,0.011,0.0043,0.00031,0.001,0,0.0000053,1.9,0.026,0.39,0.013,0.23,0.02,0.0009,0.0031
Costeleta ou perna crua de borrego,Carne e produtos cárneos,124,5,2.2,1.6,0.2,0.1,0.2,0,0,0,0,0.16,0,19.7,0,0.068,0,0,0.0000004,0.0001,0.00014,0.00024,0.005,0.0087,0.0037,0.00037,0.002,0,0.000003,1.2,0.064,0.28,0.011,0.22,0.027,0.0017,0.0038
Entrecosto de porco cru,Carne e produtos cárneos,190,12.4,4.2,4.1,2,1.7,0.1,0,0,0,0,0.18,0,19.6,0,0.066,0,0,0.0000007,0.00008,0.00073,0.00025,0.0072,0.011,0.0042,0.00044,0.001,0,0.000001,1.1,0.072,0.35,0.011,0.19,0.021,0.0008,0.0022
"Fiambre, pá",Carne e produtos cárneos,106,5.1,1.7,2.2,0.7,0.6,0,0,1.3,0,0,0,2.3,14,0,0.064,0,0,0,0.00016,0.00028,0.00013,0.0035,0.0064,0.0029,0.0002,0.0011,0,0.000002,3.34,0.94,0.31,0.012,0.26,0.014,0.0007,0.0014
"Fiambre, peito de frango",Carne e produtos cárneos,82,1.3,0.4,0.6,0.3,0.2,0,2.8,0.1,0,0,0,1.9,13.7,0,0.064,0,0,0,0.00016,0.00009,0.00006,0.0035,0.0064,0.0029,0.00023,0.0011,0,0.000002,3.58,0.94,0.32,0.01,0.27,0.017,0.0004,0.0004
"Fiambre, peito de peru",Carne e produtos cárneos,85,1.9,0.6,0.7,0.6,0.5,0,2.6,0.1,0,0,0,1.2,13.8,0,0.064,0,0,0,0.00016,0.00011,0.00009,0.0035,0.0064,0.0029,0.00024,0.0011,0,0.000002,3.17,0.87,0.29,0.011,0.27,0.016,0.0004,0.0009
"Fiambre, perna",Carne e produtos cárneos,106,4.1,1.3,1.8,0.6,0.5,0,0,1.2,0,0,0,1.4,16.5,0,0.064,0,0,0,0.00016,0.00036,0.00013,0.0035,0.0064,0.0029,0.00028,0.0011,0,0.000002,3.46,0.93,0.35,0.009,0.28,0.017,0.0006,0.0013
"Fígado de porco, cru",Carne e produtos cárneos,129,5,1.7,1.7,0.8,0.7,0,0,0,0,0,0.28,0,20.9,0,0.237,9,0,0.0000011,0.00033,0.00041,0.0033,0.016,0.02,0.0045,0.00058,0.023,0.028,0.00029,1.6,0.11,0.36,0.014,0.32,0.032,0.0078,0.0033
"Fígado de vaca, cru",Carne e produtos cárneos,132,4.4,1.7,1.9,0.2,0.1,0.2,2.1,0,0,2.1,0.32,0,20.9,0,0.283,9.6,0,0.0000011,0.00042,0.00045,0.0032,0.01,0.014,0.0045,0.00087,0.11,0.027,0.00033,1.42,0.13,0.34,0.012,0.28,0.019,0.0057,0.0026
"Fígado de vitela, cru",Carne e produtos cárneos,119,3.5,1.4,1.5,0.1,0.1,0.2,1.5,0,0,1.5,0.3,0,20.3,0,0.286,11.9,0,0.0000003,0.00042,0.00026,0.0016,0.011,0.016,0.0048,0.00052,0.064,0.03,0.00016,1.37,0.12,0.41,0.012,0.32,0.023,0.0065,0.005
Frango inteiro com pele cru,Carne e produtos cárneos,201,13.6,3.2,4.5,2.8,2.4,0.1,0,0,0,0,0.18,0,19.6,0,0.099,0.02,0,0.0000006,0.0002,0.00012,0.00025,0.0066,0.01,0.0034,0.0003,0.0008,0,0.0000094,0.88,0.07,0.32,0.011,0.18,0.023,0.0008,0.0009
Frango inteiro sem pele cru,Carne e produtos cárneos,110,2,0.5,0.7,0.4,0.4,0,0,0,0,0,0.19,0,22.9,0,0.087,0.01,0,0.0000002,0.0002,0.00014,0.00019,0.008,0.012,0.0043,0.00037,0.00072,0,0.000011,1.03,0.077,0.38,0.012,0.2,0.027,0.0009,0.001
"Hambúrguer de vaca, cru",Carne e produtos cárneos,142,6.8,2.7,3,0.3,0.2,0.3,0,0,0,0,0.16,0,20.2,0,0.061,0,0,0.0000004,0.0001,0.00009,0.00015,0.0034,0.0077,0.0043,0.00045,0.002,0,0.000014,0.9,0.064,0.36,0.01,0.18,0.022,0.0016,0.0035
